audio_filepath,transcript
sounds/common_voice_ja_19682411.wav,父は社長に昇進した
sounds/common_voice_ja_19534153.wav,必要の前に法律はない
sounds/common_voice_ja_19507424.wav,彼女は隣の人の幸運を妬んでいた
sounds/common_voice_ja_38040554.wav,新しい踊り手が舞いこんだとでもいうふうに彼女のほうを振り向いたのだった事実一瞬のあいだはフリーダが鞭を落してしまいそうに見えたが
sounds/common_voice_ja_38413223.wav,彼等は満八十歳になるとこの国の法律ではもう死んだものと同じように扱われ財産はすぐ子供が相続することになっています
sounds/common_voice_ja_19496609.wav,彼女は明かりをつけた
sounds/common_voice_ja_19534043.wav,彼女は帽子を風で飛ばされました
sounds/common_voice_ja_19482543.wav,不平を言うなんてあなたらしくない
sounds/common_voice_ja_19507542.wav,あしたの夜は友達と会うので出かけます
sounds/matthew_02-06.wav,彼らは言ったユダヤのベツレヘムです預言者がこう書いています
sounds/common_voice_ja_19496631.wav,全部で十あります
sounds/common_voice_ja_19499818.wav,父はゴルフをやるにはやるがうまくはない
sounds/common_voice_ja_19507516.wav,彼女は留学するかもしれないとほのめかした
sounds/common_voice_ja_19500967.wav,父は貿易業に従事している
sounds/common_voice_ja_19482491.wav,テロがあるからやめろとさんざんいわれた
sounds/common_voice_ja_38379908.wav,三人が三人ともいい身分になって立派に国を治めていましたそれが年よった悪魔をひどく困らせました
sounds/common_voice_ja_19507438.wav,使わない物を本棚の上に上げます
sounds/common_voice_ja_19485591.wav,ユーモアとは高慢このうえない解毒剤だ
sounds/common_voice_ja_19507450.wav,彼女は部屋に入ってきた
sounds/common_voice_ja_19485636.wav,それはきょうの新聞です
sounds/matthew_01-22.wav,マリアは男の子を産むその子をイエスと名付けなさいこの子は自分の民を罪から救うからである
sounds/common_voice_ja_38413224.wav,宿に着くとすぐに自分の部屋へいきベッドの上に横になったフリーダはそのわきの床の上に寝床をつくった
sounds/common_voice_ja_19710846.wav,なぜですか
sounds/matthew_01-23.wav,このすべてのことが起こったのは主が預言者を通して言われていたことが実現するためであった
sounds/common_voice_ja_19682195.wav,不注意が大事故につながる事がある
sounds/common_voice_ja_19507447.wav,わたしはスポーツがすきではありません
sounds/common_voice_ja_19507538.wav,きょうは友達と晩ごはんを食べます
sounds/common_voice_ja_19482501.wav,田中さんの奥さんは大学の先生です
sounds/common_voice_ja_19779197.wav,服は赤ピンク青色などであった
sounds/common_voice_ja_19485252.wav,物事はあるがままに見よ
sounds/common_voice_ja_19677954.wav,父は昼食を食べるために読書をやめました
sounds/matthew_02-10.wav,彼らが王の言葉を聞いて出かけると東方で見た星が先立って進みついに幼子のいる場所の上に止まった
sounds/common_voice_ja_19507498.wav,父はよく皿洗いをします
sounds/common_voice_ja_19682760.wav,彼女は頬をふくらませた
sounds/common_voice_ja_19555949.wav,おとといデパートで新しい靴を買いました
sounds/common_voice_ja_19534060.wav,生徒たちは廊下にまっすぐ並びます
sounds/common_voice_ja_19507440.wav,産科医が減り続け産科医療が危機に陥っている
sounds/common_voice_ja_38040714.wav,ところが印度王はシモン王のことを聞いてすっかりその考えをまねてしまいましたそしてそればかりでなく自分の方でいろいろと工夫しました
sounds/common_voice_ja_19534059.wav,あなた同様私もヤフオクの評価が信じられません
sounds/common_voice_ja_19682407.wav,風邪を引いて頭が痛い
sounds/common_voice_ja_19547324.wav,富士山より高い山は日本にはない
sounds/common_voice_ja_19682325.wav,ここは零度なのでとても寒いです
sounds/common_voice_ja_19547316.wav,図書館で勉強している田中さんを見ました
sounds/common_voice_ja_19682990.wav,社長さんの車種と色は
sounds/common_voice_ja_19492769.wav,そのコップはあなたのです
sounds/common_voice_ja_19534111.wav,彼女は利口というよりむしろ賢明である
sounds/common_voice_ja_38394793.wav,逃げなかったのですやっとのことでふみとどまったのです桂君は自分が名誉ある少年探偵団の一員であることを思いだしました
sounds/common_voice_ja_19496647.wav,彼女は彼をハンサムだといった
sounds/common_voice_ja_19676248.wav,ぶらぶらと球場まで十分足らずの道を歩いていく
sounds/common_voice_ja_38379911.wav,もしあの馬鹿がああして畑の仕事をつづけて行くとあいつらは困るということを知らないだろうあいつが二人の兄を養って行くだろうからね
sounds/common_voice_ja_19486650.wav,わたしは今お金がありません
sounds/common_voice_ja_19710973.wav,父は病気で寝ていますのであなたに会えません
sounds/common_voice_ja_19763473.wav,父はその家を売りに出した
sounds/common_voice_ja_38394775.wav,その物体の斜面にはたくさんの人間が上下に動きまわっているのですその姿がはっきりと見えるのです
sounds/common_voice_ja_38394780.wav,桂君がけっして手ぬかりはなかったといっていますみんな小学生ですけれどなかなかしっかりした人たちですからぼくも信用していいと思います
sounds/common_voice_ja_19517026.wav,事故原因の究明は急いでもらいたい
sounds/common_voice_ja_19682244.wav,父は私に改心するように言った
sounds/common_voice_ja_19485577.wav,わたしは本を読みました
sounds/common_voice_ja_19763604.wav,部屋の中に入ってください
sounds/common_voice_ja_19486649.wav,ピラミッドを築くだけの苦労がそこにそそがれたはずであった
sounds/common_voice_ja_19682074.wav,兵隊が町への道を封鎖した
sounds/common_voice_ja_19486652.wav,彼女は流行に敏感である
sounds/common_voice_ja_19507455.wav,兵士は皆勇敢だった
sounds/common_voice_ja_38394788.wav,あまり長くそこに立っていたためにすっかりお腹を空してしまいましたしかしたれもが塔の上へ食物を持って行くことなど考えもしませんでした
sounds/common_voice_ja_19537421.wav,病気の時見舞いに来てくれてどうもありがとう
sounds/common_voice_ja_19485555.wav,彼女は話が下手です
sounds/common_voice_ja_19682893.wav,この村は静かできれいです
sounds/common_voice_ja_19763774.wav,部屋には数人の学生がいた
sounds/common_voice_ja_19620103.wav,貧しさのため彼は研究を続けることが出来なかった
sounds/common_voice_ja_19580237.wav,財布をなくしたので交番へ行きます
sounds/common_voice_ja_19507477.wav,母に料理を教えてもらいました
sounds/common_voice_ja_19507445.wav,東京ミッドタウンは緑がいっぱい
sounds/common_voice_ja_19779201.wav,平和しか世界を救うことはできない
sounds/common_voice_ja_19710971.wav,氷は溶けて水になる
sounds/common_voice_ja_38352244.wav,この原則は全体の優秀な組織によって正当なものとされますし事の処理が極度に速やかになされなければならないときにはどうしても必要なのです
sounds/common_voice_ja_19701173.wav,父は私の弟を掌中の玉のようにかわいがった
sounds/common_voice_ja_19682307.wav,ここは二階です
sounds/common_voice_ja_19485557.wav,安ければ買います
sounds/common_voice_ja_19500921.wav,彼女は両親の願いに逆らってその外国人と結婚した
sounds/common_voice_ja_19763771.wav,風邪に気をつけて
sounds/common_voice_ja_19492762.wav,彼女を秘書として使ってみよう
sounds/common_voice_ja_19500895.wav,きのうは疲れていたので今朝遅く起きました
sounds/common_voice_ja_19682989.wav,人物の独白があれば空から見おろすような描写がある
sounds/common_voice_ja_19682329.wav,父は来週海外へ行くつもりだ
sounds/common_voice_ja_19682928.wav,スーパーボウルを見るために会社を休んでいた事もありました
sounds/common_voice_ja_19529146.wav,父はお金にきちょうめんです
sounds/common_voice_ja_19683053.wav,あやうく某業者の甘言に騙され大損するところでした
sounds/common_voice_ja_19537425.wav,腹を立てるのもあたりまえだな
sounds/common_voice_ja_19682929.wav,夜は寒いのでコートを持って出かけます
sounds/common_voice_ja_19485597.wav,分かりました気をつけて運転してください
sounds/common_voice_ja_19507537.wav,そっちへ行くと郵便局や銀行があります
sounds/common_voice_ja_38379913.wav,イワンはまた他の木を伐り倒しにかかりましたするとまた前と同じようなことが起りましたイワンは汗びしょになりました
sounds/common_voice_ja_19507490.wav,病気見舞いはかえってありがた迷惑だ
sounds/common_voice_ja_19534112.wav,山田さんは来月東京へ行くそうです
sounds/common_voice_ja_38040709.wav,過度の緊張の結果が現われたのだったもちろんはなはだまずいときにである新しい知合いを探そうという気持が逆らいがたく彼の心をひいていた
sounds/common_voice_ja_19492765.wav,たまにはビール以外のお酒をちびちび舐めるのも良いでしょう
sounds/common_voice_ja_19485554.wav,彼女は母親と一緒にやってきた
sounds/common_voice_ja_19621166.wav,父は滅多に日曜日に外出することはない
sounds/common_voice_ja_19507458.wav,この果てしない宇宙にいるのは私たち人類だけですか
sounds/common_voice_ja_19701171.wav,布に応じて衣服を裁て
sounds/common_voice_ja_19763996.wav,彼女は別れを告げずに立ち去った
sounds/matthew_02-11.wav,学者たちはその星を見て喜びにあふれた
sounds/common_voice_ja_19711826.wav,彼女は容易に試験にとおると思う
sounds/common_voice_ja_19507514.wav,彼女は服装に大部分のお金を使う
sounds/matthew_01-13.wav,バビロンへ移住させられた後エコンヤはシャルティエルをもうけシャルティエルはゼルバベルを
sounds/common_voice_ja_19502604.wav,布団をたたみなさい
sounds/common_voice_ja_38425473.wav,彼等は青年が愉快そうにしているのを見ては嫉妬しますそれは彼等がもうあんなに愉快にはなれないからです
sounds/common_voice_ja_19507512.wav,不正には抗議せざるをえない
sounds/common_voice_ja_19682850.wav,非の打ち所がない計画は窮屈だなあ
sounds/common_voice_ja_19580188.wav,新しい道ができたので村は便利になりました
sounds/common_voice_ja_19517025.wav,毎日忙しいのであまり休むことができません
sounds/common_voice_ja_38394787.wav,ラグナグ国と日本国とは絶えず行き来しているのですからこのストラルドブラグの話ももしかすると日本の人が本に書いているかもしれません
sounds/matthew_01-06.wav,サルモンはラハブによってボアズをボアズはルツによってオベドをオベドはエッサイを
sounds/common_voice_ja_38040553.wav,イワンは百姓やおかみさんたちを招んで御馳走を食べて酔っぱらうまでに飲みましたそれから通りへ出て村の若者や娘たちが踊っている広場へ
sounds/common_voice_ja_19482481.wav,彼女は腕にギブスをはめている
sounds/common_voice_ja_19482487.wav,父は私たちの中で一番背が高い
sounds/common_voice_ja_19710969.wav,あなたの美意識を満足させるものは何ですか
sounds/common_voice_ja_19499816.wav,文法は私の大嫌いなものですがためになります
sounds/common_voice_ja_19763773.wav,今週テストが四つもありました
sounds/matthew_02-09.wav,そして行ってその子のことを詳しく調べ見つかったら知らせてくれわたしも行って拝もうと言ってベツレヘムへ送り出した
sounds/common_voice_ja_19507430.wav,付き合いがいやなわけではないが疲れているのだ
sounds/common_voice_ja_19620159.wav,テストはできましたかそれでは出してください
sounds/common_voice_ja_19485872.wav,留守中の郵便物を処理するだけで優に半日はかかる
sounds/matthew_02-20.wav,こうして預言者エレミヤを通して言われていたことが実現した
sounds/common_voice_ja_19712327.wav,風邪によい薬はありませんか
sounds/common_voice_ja_19507474.wav,指導部の交代は国際政治経済に重要な影響を与える
sounds/common_voice_ja_19682322.wav,普段は泥にまみれたもんぺ姿の母が薄化粧して水色のワンピースを着て来た
sounds/common_voice_ja_19534064.wav,あそこにいる人はたぶん山田さんです
sounds/common_voice_ja_19496625.wav,けさテレビでニュースを見ました
sounds/common_voice_ja_19507463.wav,父は昔腕力のある人でした
sounds/common_voice_ja_19621170.wav,彼女を電話に出して頂けませんか
sounds/common_voice_ja_19507456.wav,彼女は妹に劣らずきれいだ
sounds/common_voice_ja_19763878.wav,おもちゃコンサルタントの方々が甲斐甲斐しく働く姿がとても印象的でした
sounds/common_voice_ja_19682765.wav,あまりつかれませんでした
sounds/matthew_01-17.wav,ヤコブはマリアの夫ヨセフをもうけたこのマリアからメシアと呼ばれるイエスがお生まれになった
sounds/common_voice_ja_19485563.wav,彼女は父親が金持ちであることを自慢している
sounds/common_voice_ja_19496633.wav,うちにはテレビが三台あります
sounds/matthew_01-19.wav,イエス・キリストの誕生の次第は次のようであった母マリアはヨセフと婚約していたが二人が一緒になる前に聖霊によって身ごもっていることが明らかになった
sounds/common_voice_ja_19534023.wav,氷みたいに冷たい顔しないでくれよ
sounds/common_voice_ja_19682780.wav,強い乱視はコンタクトレンズのほうが矯正できます
sounds/common_voice_ja_19682680.wav,デパートへ行ってエレベーターで最上階にあがりまずお好み食堂へ入った
sounds/common_voice_ja_19534022.wav,疲れたときは風呂に入るのが一番
sounds/common_voice_ja_19482542.wav,あの人は日本語の先生だと思います
sounds/common_voice_ja_19507539.wav,彼女を怒らせたのは彼の沈黙だった
sounds/common_voice_ja_19711061.wav,彼女は毎日何時間も練習してテニスの試合に備えた
sounds/common_voice_ja_19482505.wav,あしたテストがあるので今晩は勉強します
sounds/common_voice_ja_19763598.wav,彼女は旅行へ行っています
sounds/common_voice_ja_19534123.wav,わたしはバスを待っています
sounds/common_voice_ja_19763543.wav,父は天文学つまり星に関する学問を研究している
sounds/common_voice_ja_19763772.wav,彼女は冷たくじろりとこちらをにらんだ
sounds/common_voice_ja_19677953.wav,彼等はこの陳述が真実であると一人残らず認めた
sounds/matthew_02-05.wav,王は民の祭司長たちや律法学者たちを皆集めてメシアはどこに生まれることになっているのかと問いただした
sounds/common_voice_ja_38040718.wav,黒い魔物はつい目の前を走っています暗い庭の中でまっ黒なやつを追うのですからなかなか骨が折れましたがさいわい庭のまわりは
sounds/common_voice_ja_19485564.wav,病気のために彼女は来れなかった
sounds/common_voice_ja_19485590.wav,日本人は決してユーモアと無縁な人種ではなかった
sounds/common_voice_ja_19682867.wav,聞けば彼は村ではひとかどの人物だとか
sounds/common_voice_ja_19482531.wav,舞台の上の女優は濃い化粧をしていた
sounds/common_voice_ja_19507491.wav,このボールペンはいくらですか
sounds/common_voice_ja_19682819.wav,スクールで得たのは一生ぬぐえない恐怖感と人への不信感だけだ
sounds/common_voice_ja_19507485.wav,田中さんの車は白くて大きいです
sounds/common_voice_ja_19485548.wav,鼻水が出ます
sounds/common_voice_ja_19485572.wav,儲けようとする投機筋に操られているのです
sounds/common_voice_ja_19492775.wav,父は私の退学に同意した
sounds/common_voice_ja_19534114.wav,そこへオーナーが新しいシェフとして腕利きのヒョヌクを招く
sounds/common_voice_ja_19763998.wav,きょうは何月何日ですか
sounds/common_voice_ja_19482480.wav,木村さんはわたしに写真を見せてくれました
sounds/common_voice_ja_19580205.wav,部屋には誰もいない
sounds/common_voice_ja_19763471.wav,この絵は色がきれいです
sounds/common_voice_ja_19534085.wav,うちに電話をかけましたが誰もいませんでした
sounds/common_voice_ja_19482488.wav,彼女は風に髪をなびかせて私のほうへ走ってきた
sounds/common_voice_ja_38352248.wav,エスピリトサント州の州都はヴィトーリアである
sounds/common_voice_ja_19502625.wav,日本人は引き揚げの苦しさばかり言い中国人の傷を考えない
sounds/common_voice_ja_19485625.wav,貧しい人が必ずしも不幸なわけではないと言われている
sounds/common_voice_ja_38394773.wav,この書生の掌の裏でしばらくはよい心持ちに坐っておったがしばらくすると非常な速力で運転し始めたこの書生の掌の裏でしばらくはよい心持ちに坐っておったがしばらくすると非常な速力で運転し始めた
sounds/common_voice_ja_19547307.wav,父は商用で香港に行った
sounds/common_voice_ja_19620160.wav,あそこに丸い箱があります
sounds/common_voice_ja_19507530.wav,彼等は多くのくなんをたえしのんだ
sounds/common_voice_ja_19507483.wav,表か裏か
sounds/common_voice_ja_19682065.wav,検札に来た車掌も見て見ぬふりである
sounds/common_voice_ja_19507423.wav,また御都合がよろしければその晩夕食に御招待したいと存じます
sounds/common_voice_ja_19485621.wav,野球の後のビールぐらいうまいものはない
sounds/common_voice_ja_19485886.wav,部屋をきちんとしておかなくてはならない
sounds/common_voice_ja_19682922.wav,シャツもなくズボンもなくもちろん古新聞もなければ古雑誌もない
sounds/common_voice_ja_38394778.wav,濁流を突破した山賊の囲みからもするりと抜けて一気に峠を駈け降りて来たのだ
sounds/common_voice_ja_19555944.wav,風が強く吹いている
sounds/common_voice_ja_19507448.wav,彼女は美しい花をたくさん摘んだ
sounds/common_voice_ja_19500897.wav,父も母に劣らず私をかわいがってくれた
sounds/common_voice_ja_19547315.wav,封切られたばかりの映画はなんですか
sounds/common_voice_ja_19682821.wav,父親が亡くなってジョンは居酒屋に入りびたるようになった
sounds/common_voice_ja_19507425.wav,彼女は両手で顔をおおった
sounds/matthew_02-07.wav,ユダの地ベツレヘムよお前はユダの指導者たちの中で決していちばん小さいものではないお前から指導者が現れわたしの民イスラエルの牧者となるからである
sounds/common_voice_ja_19492759.wav,不活発な子供は空想の世界に閉じこもる傾向がずっと高い
sounds/common_voice_ja_38040713.wav,ぼくはここの主人の春木はるきというものですがよくおいでくださいましたじつはぼくのほうからお電話でもしようかと考えていたところです
sounds/common_voice_ja_19584425.wav,暑いのでセーターを脱ぎます
sounds/common_voice_ja_19534139.wav,紛争のない人間社会はありえない
sounds/common_voice_ja_19683012.wav,世界が一丸となって気候変動の問題に取り組む必要がある
sounds/common_voice_ja_19502626.wav,病人はまだしっかりしている
sounds/matthew_01-16.wav,エリウドはエレアザルをエレアザルはマタンをマタンはヤコブを
sounds/common_voice_ja_19496645.wav,彼女は夫の死に心を痛めている
sounds/common_voice_ja_19517023.wav,父はまだ休んでいる
sounds/common_voice_ja_19485594.wav,兵隊達は全員その地帯の地図を持っていた
sounds/common_voice_ja_19485244.wav,彼女は来ると電報を打ってきた
sounds/common_voice_ja_19683019.wav,瀕死の患者の家族についてはどうでしょうか
sounds/common_voice_ja_19701172.wav,父は母を愛している
sounds/matthew_02-24.wav,ヘロデが死ぬと、主の天使がエジプトにいるヨセフに夢で現れて
sounds/common_voice_ja_19485573.wav,父親が病気の間彼が会社を経営した
sounds/common_voice_ja_19507515.wav,ちゃんとした文章をしゃべらず単語で間に合わせる
sounds/common_voice_ja_19620102.wav,仕事が終わったら夕飯を食べに行きます
sounds/common_voice_ja_19763999.wav,あしたの天気は雨です
sounds/matthew_01-07.wav,エッサイはダビデ王をもうけたダビデはウリヤの妻によってソロモンをもうけ
sounds/common_voice_ja_19534087.wav,あそこに犬が二匹います
sounds/common_voice_ja_19534020.wav,制度が動かぬとなればやはり不都合が出てくる
sounds/common_voice_ja_19534062.wav,初めて沈黙を破ってキリストがささやいた
sounds/common_voice_ja_19500920.wav,物音で彼女は目を覚ました
sounds/common_voice_ja_19485635.wav,彼女は僕に会うたびに微笑みかける
sounds/common_voice_ja_19534044.wav,わたしの部屋は南側にあるので明るいです
sounds/common_voice_ja_19534152.wav,彼女達は社会的地位の向上を願った
sounds/common_voice_ja_19507475.wav,わたしは毎朝散歩に行きます
sounds/common_voice_ja_38040550.wav,愛情のためです心配からですとおかみはいいフリーダの頭を自分の身体に引きよせたフリーダは立っているのに坐っているおかみの肩のところまで
sounds/common_voice_ja_19507462.wav,群衆行動で恐ろしいのはどさくさまぎれの心理だ
sounds/common_voice_ja_19534031.wav,航空事故を限りなくゼロに近づけるにはそれほどなり振りかまわぬ努力がいる
sounds/matthew_01-15.wav,アゾルはサドクをサドクはアキムをアキムはエリウドを
sounds/common_voice_ja_19572004.wav,きょうの夕飯はカレーを作ろうと思います
sounds/matthew_01-14.wav,ゼルバベルはアビウドをアビウドはエリアキムをエリアキムはアゾルを
sounds/common_voice_ja_19547343.wav,風が凪いだ
sounds/common_voice_ja_38040551.wav,ある監督の役所がそのあいだにＡ課から何年も前に村に宛てて測量技師についての照会が行われているのにこれまでその返事がきていないということを
sounds/common_voice_ja_19507524.wav,壁には絵が何枚かかけてあった
sounds/common_voice_ja_19485250.wav,わたしは松井さんが書いた作文を読みました
sounds/common_voice_ja_19485655.wav,電車に乗るとき切符を買います
sounds/common_voice_ja_19682776.wav,彼女は風邪で寝ている
sounds/common_voice_ja_19682775.wav,秋は涼しいです
sounds/common_voice_ja_19485873.wav,夕方公園へ散歩に行きました
sounds/common_voice_ja_19763995.wav,おふろで体を洗います
sounds/common_voice_ja_19682675.wav,悲鳴で静寂がやぶられた
sounds/common_voice_ja_19507544.wav,バスで学校に行きます
sounds/common_voice_ja_19763474.wav,彼女は裕福だけれども幸福ではない
sounds/matthew_02-28.wav,ナザレという町に行って住んだ彼はナザレの人と呼ばれると預言者たちを通して言われていたことが実現するためであった
sounds/common_voice_ja_19485588.wav,彼女は母親に似ているとは思わない
sounds/common_voice_ja_19547309.wav,田中さんの左に木村さんがいます
sounds/common_voice_ja_38352243.wav,まあ二人はなんていう恰好でここに寝ているんでしょうと女中の一人がいって同情の気持から彼らの上に一枚の布を投げかけた
sounds/common_voice_ja_19534089.wav,幼児はしばしばフィクションと現実とを混同する
sounds/common_voice_ja_19507540.wav,いくつありますか
sounds/common_voice_ja_19682267.wav,このかばんは高かったです
sounds/common_voice_ja_19485596.wav,東京は晴れでした
